MatchDate:			 Date of the match.
Link_Pressure_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <Link_Pressure_avg_perTimePerPlayer_ref> (Pressure on player with ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
Link_Pressure_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <Link_Pressure_avg_perTimePerPlayer_ref> (Pressure on player with ball.). For <refTeam>. During the whole duration of the events <attack>.
Link_Pressure_avg_perTimePerPlayer_ref_min:	 Minimum of <Link_Pressure_avg_perTimePerPlayer_ref> (Pressure on player with ball.). For <refTeam>. During the whole duration of the events <attack>.
Link_Pressure_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <Link_Pressure_avg_perTimePerPlayer_ref> (Pressure on player with ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
Link_Pressure_avg_perTimePerPlayer_ref_max:	 Maximum of <Link_Pressure_avg_perTimePerPlayer_ref> (Pressure on player with ball.). For <refTeam>. During the whole duration of the events <attack>.
Link_Pressure_01_avg:		 Average of <Link_Pressure_01> (Pressure on player with ball.). For <1th player>. During the whole duration of the events <attack>.
Link_Pressure_01_avgGreaterThanZero:	 Average of <Link_Pressure_01> (Pressure on player with ball.) with only values greater than zero. For <1th player>. During the whole duration of the events <attack>.
Link_Pressure_01_std:		 Standard Deviation of <Link_Pressure_01> (Pressure on player with ball.). For <1th player>. During the whole duration of the events <attack>.
Link_Pressure_01_min:		 Minimum of <Link_Pressure_01> (Pressure on player with ball.). For <1th player>. During the whole duration of the events <attack>.
Link_Pressure_01_minGreaterThanZero:	 Minimum of <Link_Pressure_01> (Pressure on player with ball.) with only values greater than zero. For <1th player>. During the whole duration of the events <attack>.
Link_Pressure_01_max:		 Maximum of <Link_Pressure_01> (Pressure on player with ball.). For <1th player>. During the whole duration of the events <attack>.
Link_Pressure_02_avg:		 Average of <Link_Pressure_02> (Pressure on player with ball.). For <2th player>. During the whole duration of the events <attack>.
Link_Pressure_02_avgGreaterThanZero:	 Average of <Link_Pressure_02> (Pressure on player with ball.) with only values greater than zero. For <2th player>. During the whole duration of the events <attack>.
Link_Pressure_02_std:		 Standard Deviation of <Link_Pressure_02> (Pressure on player with ball.). For <2th player>. During the whole duration of the events <attack>.
Link_Pressure_02_min:		 Minimum of <Link_Pressure_02> (Pressure on player with ball.). For <2th player>. During the whole duration of the events <attack>.
Link_Pressure_02_minGreaterThanZero:	 Minimum of <Link_Pressure_02> (Pressure on player with ball.) with only values greater than zero. For <2th player>. During the whole duration of the events <attack>.
Link_Pressure_02_max:		 Maximum of <Link_Pressure_02> (Pressure on player with ball.). For <2th player>. During the whole duration of the events <attack>.
Link_Pressure_03_avg:		 Average of <Link_Pressure_03> (Pressure on player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Pressure_03_avgGreaterThanZero:	 Average of <Link_Pressure_03> (Pressure on player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Pressure_03_std:		 Standard Deviation of <Link_Pressure_03> (Pressure on player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Pressure_03_min:		 Minimum of <Link_Pressure_03> (Pressure on player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Pressure_03_minGreaterThanZero:	 Minimum of <Link_Pressure_03> (Pressure on player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Pressure_03_max:		 Maximum of <Link_Pressure_03> (Pressure on player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Pressure_04_avg:		 Average of <Link_Pressure_04> (Pressure on player with ball.). For <4th player>. During the whole duration of the events <attack>.
Link_Pressure_04_avgGreaterThanZero:	 Average of <Link_Pressure_04> (Pressure on player with ball.) with only values greater than zero. For <4th player>. During the whole duration of the events <attack>.
Link_Pressure_04_std:		 Standard Deviation of <Link_Pressure_04> (Pressure on player with ball.). For <4th player>. During the whole duration of the events <attack>.
Link_Pressure_04_min:		 Minimum of <Link_Pressure_04> (Pressure on player with ball.). For <4th player>. During the whole duration of the events <attack>.
Link_Pressure_04_minGreaterThanZero:	 Minimum of <Link_Pressure_04> (Pressure on player with ball.) with only values greater than zero. For <4th player>. During the whole duration of the events <attack>.
Link_Pressure_04_max:		 Maximum of <Link_Pressure_04> (Pressure on player with ball.). For <4th player>. During the whole duration of the events <attack>.
Link_Pressure_05_avg:		 Average of <Link_Pressure_05> (Pressure on player with ball.). For <5th player>. During the whole duration of the events <attack>.
Link_Pressure_05_avgGreaterThanZero:	 Average of <Link_Pressure_05> (Pressure on player with ball.) with only values greater than zero. For <5th player>. During the whole duration of the events <attack>.
Link_Pressure_05_std:		 Standard Deviation of <Link_Pressure_05> (Pressure on player with ball.). For <5th player>. During the whole duration of the events <attack>.
Link_Pressure_05_min:		 Minimum of <Link_Pressure_05> (Pressure on player with ball.). For <5th player>. During the whole duration of the events <attack>.
Link_Pressure_05_minGreaterThanZero:	 Minimum of <Link_Pressure_05> (Pressure on player with ball.) with only values greater than zero. For <5th player>. During the whole duration of the events <attack>.
Link_Pressure_05_max:		 Maximum of <Link_Pressure_05> (Pressure on player with ball.). For <5th player>. During the whole duration of the events <attack>.
Link_Pressure_06_avg:		 Average of <Link_Pressure_06> (Pressure on player with ball.). For <6th player>. During the whole duration of the events <attack>.
Link_Pressure_06_avgGreaterThanZero:	 Average of <Link_Pressure_06> (Pressure on player with ball.) with only values greater than zero. For <6th player>. During the whole duration of the events <attack>.
Link_Pressure_06_std:		 Standard Deviation of <Link_Pressure_06> (Pressure on player with ball.). For <6th player>. During the whole duration of the events <attack>.
Link_Pressure_06_min:		 Minimum of <Link_Pressure_06> (Pressure on player with ball.). For <6th player>. During the whole duration of the events <attack>.
Link_Pressure_06_minGreaterThanZero:	 Minimum of <Link_Pressure_06> (Pressure on player with ball.) with only values greater than zero. For <6th player>. During the whole duration of the events <attack>.
Link_Pressure_06_max:		 Maximum of <Link_Pressure_06> (Pressure on player with ball.). For <6th player>. During the whole duration of the events <attack>.
Link_Pressure_07_avg:		 Average of <Link_Pressure_07> (Pressure on player with ball.). For <7th player>. During the whole duration of the events <attack>.
Link_Pressure_07_avgGreaterThanZero:	 Average of <Link_Pressure_07> (Pressure on player with ball.) with only values greater than zero. For <7th player>. During the whole duration of the events <attack>.
Link_Pressure_07_std:		 Standard Deviation of <Link_Pressure_07> (Pressure on player with ball.). For <7th player>. During the whole duration of the events <attack>.
Link_Pressure_07_min:		 Minimum of <Link_Pressure_07> (Pressure on player with ball.). For <7th player>. During the whole duration of the events <attack>.
Link_Pressure_07_minGreaterThanZero:	 Minimum of <Link_Pressure_07> (Pressure on player with ball.) with only values greater than zero. For <7th player>. During the whole duration of the events <attack>.
Link_Pressure_07_max:		 Maximum of <Link_Pressure_07> (Pressure on player with ball.). For <7th player>. During the whole duration of the events <attack>.
Link_Pressure_08_avg:		 Average of <Link_Pressure_08> (Pressure on player with ball.). For <8th player>. During the whole duration of the events <attack>.
Link_Pressure_08_avgGreaterThanZero:	 Average of <Link_Pressure_08> (Pressure on player with ball.) with only values greater than zero. For <8th player>. During the whole duration of the events <attack>.
Link_Pressure_08_std:		 Standard Deviation of <Link_Pressure_08> (Pressure on player with ball.). For <8th player>. During the whole duration of the events <attack>.
Link_Pressure_08_min:		 Minimum of <Link_Pressure_08> (Pressure on player with ball.). For <8th player>. During the whole duration of the events <attack>.
Link_Pressure_08_minGreaterThanZero:	 Minimum of <Link_Pressure_08> (Pressure on player with ball.) with only values greater than zero. For <8th player>. During the whole duration of the events <attack>.
Link_Pressure_08_max:		 Maximum of <Link_Pressure_08> (Pressure on player with ball.). For <8th player>. During the whole duration of the events <attack>.
Link_Pressure_09_avg:		 Average of <Link_Pressure_09> (Pressure on player with ball.). For <9th player>. During the whole duration of the events <attack>.
